algorithm,AUCAvg
ANBNWI-DE,0.726858064073457
ASCGAf,0.213917083491882
CMA,0.241093299753666
HillVallEA,0.868969662591738
HillVallEA19,0.882712747955559
IPOP,0.30335128159585
NEA1,0.169399500817458
NEA2,0.305273755723665
NEA2+,0.806402920735624
NMMSO,0.154979342239826
NMMSO2,0.154979342239826
RLSIS,0.590323901101534
RLSIS17,0.800716463596991
RSCMSA,0.829941887436132
RSCMSA17,0.829043938690278
SDE-Ga,0.376460615941504
SSGA,0.029357627101943
SSGA-DMRTS-DDC,0.0565593156855366
SSGA-DMRTS-DDC-F,0.0529628430269873
